Year,School,Conference,Coach Name,Previous School / Organization,Previous Position / Role,Search Firm
2016,Arkansas St.,SB,Grant McCasland,Central Michigan,Assistant Coach,
2016,Army,Pat,Jimmy Allen,Army,Associate Head Coach,
2016,Canisius,MAAC,Reggie Witherspoon,Chattanooga,Assistant Coach,
2016,Central Connecticut,NEC,Donyell Marshall,Buffalo,Assistant Coach,
2016,Columbia,Ivy,Jim Engles,NJIT,Head Coach,
2016,Cornell,Ivy,Brian Earl,Princeton,Associate Head Coach,
2016,Dartmouth,Ivy,David McLaughlin,Northeastern,Associate Head Coach,
2016,Delaware,CAA,Martin Ingelsby,Notre Dame,Assistant Coach,
2016,Denver,Sum,Rodney Billups,Colorado,Assistant Coach,
2016,Detroit Mercy,Horz,Bacari Alexander,Michigan,Assistant Coach,
2016,Drake,MVC,Jeff Rutter,Drake,Interim / Assistant Coach,
2016,Drexel,CAA,Zach Spiker,Army,Head Coach,
2016,George Washington,A10,Maurice Joseph,George Washington,Interim / Assistant Coach,
2016,Georgia Tech,ACC,Josh Pastner,Memphis,Head Coach,
2016,Jacksonville St.,OVC,Ray Harper,Western Kentucky,Head Coach,
2016,James Madison,CAA,Louis Rowe,Bowling Green,Assistant Coach,
2016,Little Rock,SB,Wes Flanigan,Little Rock,Associate Head Coach,
2016,Memphis,Amer,Tubby Smith,Texas Tech,Head Coach,
2016,Milwaukee,Horz,LaVall Jordan,Michigan,Assistant Coach,
2016,NJIT,ASun,Brian Kennedy,NJIT,Assistant Coach,
2016,New Mexico St.,WAC,Paul Weir,New Mexico State,Associate Head Coach,
2016,Nicholls St.,Slnd,Richie Riley,Clemson,Assistant Coach,
2016,Northern Colorado,BSky,Jeff Linder,Boise State,Associate Head Coach,
2016,Oklahoma St.,B12,Brad Underwood,Stephen F. Austin,Head Coach,
2016,Pacific,WCC,Damon Stoudamire,Memphis,Assistant Coach,
2016,Pittsburgh,ACC,Kevin Stallings,Vanderbilt,Head Coach,
2016,Portland,WCC,Terry Porter,Minnesota Timberwolves,Former NBA Head Coach / Analyst,
2016,Rutgers,B10,Steve Pikiell,Stony Brook,Head Coach,
2016,SMU,Amer,Tim Jankovich,SMU,Associate / Head Coach in Waiting,
